X,Y,Label,BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,BP17.tif
380182.86,2724959.61,1,153.0,76.414955,81.74155,198.44757,144.71953,119.0818,236.71399,238.87352,186.69643,181.95493,86.6601,118.61534,78.15979,37.235394,94.03736,103.38724,113.33084
380302.2,2724777.08,1,238.0,78.72028,89.24595,200.77989,146.7639,112.20816,232.41972,240.88933,186.69643,183.1414,87.24398,119.63114,79.21959,37.585926,94.50229,103.86976,115.73052
380463.53,2724572.66,1,238.0,78.72028,97.89403,200.19681,136.86383,106.3636,232.24747,238.87352,186.69643,184.33604,87.989784,120.60103,80.30585,37.977146,95.00551,104.51336,118.58073
380132.65,2725006.19,1,153.0,77.55522,81.74155,199.87912,144.71953,119.0818,236.48952,238.87352,186.69643,181.95493,86.6601,118.61534,78.15979,37.235394,94.03736,103.38724,113.33084
380069.01,2725126.71,1,153.0,76.54249,74.25712,199.53416,141.42535,112.166534,238.15184,238.87352,186.69643,180.2623,85.901985,117.106384,76.59971,36.72609,93.375786,102.76223,110.310455
380019.15,2725213.28,1,153.0,77.84812,73.395905,201.12206,141.05453,111.29482,235.5596,238.87352,182.14285,180.2623,85.901985,117.106384,76.59971,36.72609,93.375786,102.76223,110.310455
379956.71,2725146.14,1,238.0,74.34464,73.395905,202.31703,141.05453,111.29482,232.18474,236.85771,186.69643,178.73425,85.34346,115.99906,75.21022,36.223194,92.82129,102.243675,108.81245
379270.98,2726160.18,1,238.0,70.85146,36.61912,191.34123,127.528496,134.72806,234.61324,230.81027,200.35715,169.79118,79.10687,104.82205,62.2604,31.750063,86.958115,94.91615,93.14818
379346.42,2726105.08,1,136.0,73.0654,40.8,195.8307,126.85086,133.9917,234.1938,230.81027,200.35715,170.276,79.97637,106.02754,64.07389,32.428123,87.83504,96.340546,93.84784
378317.7,2730959.27,1,136.0,106.06284,25.89363,196.34688,135.95929,121.086685,234.23024,0.0,173.03572,171.57928,83.6551,107.496346,67.89089,35.946484,89.62858,100.76167,82.526764
378192.93,2730834.24,1,136.0,102.63551,28.037117,199.80956,133.74411,110.23972,230.142,255.0,182.14285,170.78339,83.208824,106.34246,67.427574,35.494076,89.3622,100.48642,82.334816
378240.06,2730759.99,1,136.0,101.52075,24.041632,199.80956,131.78217,111.857056,230.142,0.0,182.14285,171.52322,83.83063,107.61504,68.515495,35.78917,89.84589,101.14789,83.10562
378031.88,2732336.91,1,136.0,115.20245,65.40031,195.02222,140.7776,104.63556,227.23184,250.96838,163.92857,170.68698,81.49009,104.902306,62.098717,35.01635,87.21574,95.92413,76.96374
377983.54,2732272.74,1,136.0,111.764496,64.15107,195.02222,138.44852,90.35834,227.23184,250.96838,163.92857,170.06042,81.566475,104.24042,62.46615,34.814297,87.35385,96.29367,77.14384
377924.66,2732288.63,1,136.0,111.764496,66.01606,197.0098,134.22777,121.30414,229.5505,250.96838,163.92857,170.06042,81.566475,104.24042,62.46615,34.814297,87.35385,96.29367,77.14384
378057.26,2732665.86,1,136.0,118.62297,74.567825,197.22278,145.5915,95.47526,230.6075,246.93675,173.03572,171.62248,81.08614,105.139275,60.9172,35.190716,86.73381,94.72608,76.26801
378121.02,2732886.8,1,136.0,123.1679,80.81707,196.76782,143.36446,94.73873,228.72304,234.8419,182.14285,172.40924,80.70071,105.981125,60.001537,35.51954,86.33517,93.83028,75.74233
