BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,Label
153.0,176.81635,62.4157,200.03777,165.864,140.01472,234.7792,74.85084,152.45882,154.87398,80.31425,105.30417,69.937874,39.383114,83.23254,127.74438,1
153.0,178.95477,62.4157,199.08295,165.864,140.01472,230.76324,74.70065,152.2386,154.87398,80.31425,105.30417,69.937874,39.383114,83.23254,127.74438,1
153.0,176.81635,62.4157,200.32404,171.12976,139.99573,234.14525,74.70065,152.5962,154.87398,80.31425,105.30417,69.937874,39.383114,83.23254,127.74438,1
153.0,176.81635,62.4157,201.2132,171.12976,139.99573,232.98466,74.70065,152.38954,154.87398,80.31425,105.30417,69.937874,39.383114,83.23254,127.74438,1
153.0,178.95477,60.82105,199.08295,169.38846,140.67953,230.76324,74.69114,152.38954,154.80779,80.36116,105.329216,69.958084,39.371017,83.315025,127.54075,1
153.0,178.95477,59.378445,201.2132,171.12976,139.99573,232.98466,74.69114,152.38954,155.03114,80.479576,105.50346,70.367165,39.3999,83.49668,127.49605,1
153.0,178.95477,57.8,205.426,176.12605,135.93013,233.27861,74.69114,152.17282,155.03114,80.479576,105.50346,70.367165,39.3999,83.49668,127.49605,1
153.0,178.95477,57.8,205.426,176.12605,135.93013,233.27861,74.69114,152.17282,155.03114,80.479576,105.50346,70.367165,39.3999,83.49668,127.49605,1
153.0,181.10388,59.378445,203.62599,171.94913,136.37318,232.67366,74.65901,152.17282,154.74445,80.48596,105.4046,69.98455,39.36148,83.47247,127.25158,1
153.0,174.68896,65.40031,202.149,165.17107,120.38605,232.01839,74.70002,152.67506,154.9582,80.380486,105.353096,69.92089,39.396545,83.25307,127.840195,1
153.0,174.68896,63.8802,202.149,172.43872,128.05241,232.01839,74.70002,152.45882,154.9582,80.380486,105.353096,69.92089,39.396545,83.25307,127.840195,1
153.0,176.11623,60.82105,202.05476,174.90471,120.71291,235.37228,74.59425,152.79893,155.18562,80.503456,105.5354,70.35228,39.430645,83.4485,127.783676,1
153.0,74.125656,62.044178,195.64815,129.82928,119.02951,231.78853,77.624405,174.78831,174.97473,83.598656,112.559135,71.54247,34.99371,91.245255,100.70923,1
153.0,74.99776,66.01606,199.06746,144.41158,115.4033,237.21082,77.40214,174.91138,176.7463,84.40406,114.1161,73.282104,35.592823,91.989685,101.44726,1
204.0,63.95368,26.55485,205.29199,118.97448,130.98016,233.14374,77.18929,130.8822,152.41107,92.40471,113.17343,104.237274,18.573883,78.65517,126.30177,1
204.0,52.569595,36.142498,201.84474,118.704506,139.07106,232.14658,81.71225,127.72025,151.0995,91.14145,114.025604,101.01774,18.207363,78.111534,124.29674,1
204.0,52.569595,36.142498,201.84474,118.704506,139.07106,232.14658,81.71225,127.72025,151.0995,91.14145,114.025604,101.01774,18.207363,78.111534,124.29674,1
